sentiment,text,user
neutral,RT @KishoreUkkurthi: #AdvanceHBDPawanKalyan He is not only a actor A man of desire God of masses Fan of his fans And king of TFI without ma…,MeRCult1
neutral,I feel so called out whenever I watch eith of the frozen movies with my friends or family cause with everything Els… https://t.co/qfxYmUwyvd,sjoegriner
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",ASmittick
positive,"19. I don't watch disney movies but Flynn Rider? Cause he seems like he's a funny and goofy guy? Or am I wrong, I d… https://t.co/N1s7m5qBF1",SIREDANIELK
negative,RT @thekillakay_: How Black BET Movies Be Ending 😂😂😂😂😂😂😂😂😂😭😭 https://t.co/ypnC4G3kbh,type_of_time
positive,RT @vamsi_here: movies are for financial growth\npolitics are for social responsibility \n#AdvanceHBDPawanKalyan @PawanKalyan #VakeelSaab htt…,Hemanth61016554
negative,RT @thekillakay_: How Black BET Movies Be Ending 😂😂😂😂😂😂😂😂😂😭😭 https://t.co/ypnC4G3kbh,1Cash_Rules1
negative,RT @jourdayen: missing going to movies by myself when im sad https://t.co/M9lyYmJCPx,ProfessorTieg
neutral,RT @KishoreUkkurthi: #AdvanceHBDPawanKalyan He is not only a actor A man of desire God of masses Fan of his fans And king of TFI without ma…,PaidipellyMani1
negative,RT @thekillakay_: How Black BET Movies Be Ending 😂😂😂😂😂😂😂😂😂😭😭 https://t.co/ypnC4G3kbh,Dadah___
neutral,"RT @nytimes: Kelly Preston, an actress known for her role in the 1996 film “Jerry Maguire,” died Sunday at 57. The cause was breast cancer,…",di_rolf
positive,"RT @people: Kelly Preston Dies of Breast Cancer at 57: 'She Was a Bright, Beautiful and Loving Soul' https://t.co/iq2oHxw7al",eileenstiles2
positive,RT @theanimevisuals: Makoto Shinkai movies worth watching https://t.co/5X6Sc8ldl4,ApolloAlex30
positive,RT @RusthumHere: Faction movies come to Tollywood Life\nwith a love story and conqueres a industrial hit.\nIt only possible for u Usthaad\n\n#A…,GunnamRavi6
positive,RT @anupamahere: Aww💋 https://t.co/VGX7BwvtUI,Ravi_Bethapudi
negative,Doing that 365 days wali shit\nThat only works in movies\nAsal zindagi mein crime patrol ki episode ho gi,iik_malangii
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",anciso_devan
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",PavanKatnam19
positive,RT @hizeekyoung: If you're a guy and YOU have a younger sister. PLEASE for the love of God build a good relationship with her. Do not negle…,La_Mee_De
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",comelanin
neutral,RT @sunshinecruz718: Wala kaming sinasaktan at inaapakang tao. Hindi pagkain o bagay ang mga babae. Anong satisfaction ang nakukuha nyo sa…,MoonlighT_ears
positive,@AnshulGarg80 @sidharth_shukla Nice! Congrats...but would like to see u in movies #SidharthShukla,SMK40050846
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",Arepalli3
positive,RT @MommyBigDick: them: marvel movies have the most beautiful cinematography in modern film\n\nthe cinematography: https://t.co/Tnv8OeiCan,Im200PercentRad
negative,RT @D10SPS: It annoys me when people bring empty tumblers in movies. Why can't your just fill water in it? https://t.co/HeyoL07mvu,anantha_pk
negative,RT @jourdayen: missing going to movies by myself when im sad https://t.co/M9lyYmJCPx,ApheNxumalo
positive,@BaddakaRatna Manamemanna manchi hits lo unnama decent movies ni top5 lo pedutunnadu..NTR ki commercial entertainer… https://t.co/AKFwNBgdk6,RealSuperstar07
positive,"Happy 78th Birthday to @HarrisonFordLA! The actor who played Han Solo in the Star Wars movies, Indiana Jones in the… https://t.co/dxDs2XzJRp",Trainboy43
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",_immyshine
neutral,RT @galattadotcom: டிக்டாக் Ban வெச்சே ஒரு பாட்டு பண்ணுவோம்...டாக்டர் படத்தின் செல்லம்மா பாடல் ப்ரோமோ\n#Sivakarthikeyan #Anirudh #Doctor #Do…,SKFans_Team
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",NaiduNaresh5
neutral,@MilesDaMonster @locher27 @espn Wait till you see war movies,O_MYFace
positive,@TheRealMattC I just noticed that all *12* movies will be in the new Scream set. I'm like whoa. The OOP has all 12… https://t.co/oEF0mZCZmw,MarceloJPico
neutral,RT @sunshinecruz718: Wala kaming sinasaktan at inaapakang tao. Hindi pagkain o bagay ang mga babae. Anong satisfaction ang nakukuha nyo sa…,hannahmaziiing6
neutral,The Video glimpse that replicates Team PowerSena. and how we intend to work on this platform for betterment of… https://t.co/6tagMTYWc6,DarelliMahesh3
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",Kaylaa_Parchman
negative,RT @chuuzus: I hate how people don't include sinbad: legend of the seven seas when they are discussing good animated movies. https://t.co/2…,treydatrue_
neutral,Friday night movies brought to you by \n\nDawson and Bertran \nAmeriprise Financial\nP and P Electric \nKHI Financial So… https://t.co/gDIvMDMrVR,Webster_Theater
negative,RT @thekillakay_: How Black BET Movies Be Ending 😂😂😂😂😂😂😂😂😂😭😭 https://t.co/ypnC4G3kbh,f_almanzaaa
positive,RT @jamesewand: @debbopoullo Unpopular opinon: The Conversation may in fact be the best of those four great Coppola movies. \n\nWhen I was yo…,manatee73
positive,RT @RusthumHere: Faction movies come to Tollywood Life\nwith a love story and conqueres a industrial hit.\nIt only possible for u Usthaad\n\n#A…,Maximal50686111
positive,RT @RusthumHere: Faction movies come to Tollywood Life\nwith a love story and conqueres a industrial hit.\nIt only possible for u Usthaad\n\n#A…,BhaskarBandala2
neutral,RT @galattadotcom: #Sivakarthikeyan and #Anirudh records a song with #TikTok ban for #Doctor \n#Chellamma \n@Siva_Kartikeyan @anirudhofficial…,SKFans_Team
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",stoniedee
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",Khaleel93866666
neutral,"RT @agentbelova: things marvel movies taught us, a thread. https://t.co/dnBXsZFph3",howardxpotts
neutral,RT @ChhBong: Kalyan Speaking different languages in movies !\n\n#AdvanceHBDPawanKalyan https://t.co/Q1MKimSFXm,surya_sign
neutral,RT @sunshinecruz718: Wala kaming sinasaktan at inaapakang tao. Hindi pagkain o bagay ang mga babae. Anong satisfaction ang nakukuha nyo sa…,prncssstll
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",MajjiVarshith
positive,RT @jxnnylxe: yall really learned nothing???? FROM ZOOTOPIA AND THE LORAX????????? RACISM/DISCRIMINATION???????? CAPITALISM/MONOPOLY???????…,DookieMud
positive,"RT @NFrechen: Adrenochrome on Turkish TV, black eyes, and the panda eyes. Real news would ask questions.(above is German tv and adrenochrom…",Darth__El89
positive,RT @SunilRa20928003: #AdvanceHBDPawanKalyan\nTrue Leader . Inspiration For Many \nRespect 🙏 Hope For Many People\nA Man With Billion Dreams  H…,Pavanpremam1
positive,RT @JohnCeeeeee: DOES HE WATCH YOUR FAVORITE MOVIES DOES HE HOLD YOU WHEN YOU CRY DOES HE LET YOU TELL HIM ALL YOUR FAVORITE PARTS WHEN YOU…,itscantaloupee
positive,"RT @LiveJayaram: Advance Happy birthday  @PawanKalyan Sir, 🎂\n\nWishing from @LiveJayaram \n\n( Padmasree #Jayaram Movies &amp; Events Promote offi…",self_sai
positive,RT @hizeekyoung: If you're a guy and YOU have a younger sister. PLEASE for the love of God build a good relationship with her. Do not negle…,Philipo_inzaghi
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",jacki3jl
negative,RT @iBeingAnkush: #SalmanKhan Movies in Single Screen :-\n\n#TigerZindaHai : 107c\n#BajrangiBhaijaan : 103c\n#Sultan : 101c\n#Kick : 90c\n#PRDP :…,Sks___Radhe
positive,RT @RusthumHere: Faction movies come to Tollywood Life\nwith a love story and conqueres a industrial hit.\nIt only possible for u Usthaad\n\n#A…,theskyvasa19
negative,RT @thekillakay_: How Black BET Movies Be Ending 😂😂😂😂😂😂😂😂😂😭😭 https://t.co/ypnC4G3kbh,oniincteam
negative,RT @thekillakay_: How Black BET Movies Be Ending 😂😂😂😂😂😂😂😂😂😭😭 https://t.co/ypnC4G3kbh,CheyenneDaMan
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",yaswant29830340
neutral,RT @dheerajmroy: Disha Patani in movies be like : https://t.co/9qkwKOngcr,SanjibanSinha
neutral,RT @fennecwounds: im not going to tell kids what media they can and cant consume. i played m-rated games and watched r-rated movies too. an…,wingedben
positive,RT @RusthumHere: Faction movies come to Tollywood Life\nwith a love story and conqueres a industrial hit.\nIt only possible for u Usthaad\n\n#A…,krish_truly
neutral,RT @Master_Pooch: @ibraheemclassic You just dey watch movies dey go,ibraheemclassic
neutral,RT @KishoreUkkurthi: #AdvanceHBDPawanKalyan He is not only a actor A man of desire God of masses Fan of his fans And king of TFI without ma…,SubrahmanyamAi1
neutral,RT @ManjunadhJSP: Whether it is in movies or politics i am always with you annaya\n\n#VakeelSaab | @PawanKalyan\n#AdvanceHBDPawanKalyan https:…,SaiSai83363659
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",breeaana_
positive,"RT @people: Kelly Preston Dies of Breast Cancer at 57: 'She Was a Bright, Beautiful and Loving Soul' https://t.co/iq2oHxw7al",MsRiceCrispy
neutral,RT @sunshinecruz718: Wala kaming sinasaktan at inaapakang tao. Hindi pagkain o bagay ang mga babae. Anong satisfaction ang nakukuha nyo sa…,nethan_merida
positive,Win or Lose..\nPolitics or Movies..\nHit or Flop...\nAlways with @PawanKalyan ❤️❤️❤️❤️\n\n#AdvanceHBDPawanKalyan https://t.co/gSC6hdwe6O,kalyanram94
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",gerardrtm
positive,RT @CraigMVMONPOD: THE NEW EPISODE IS LIIIIIIVE!! Thank you again @arcadefriar!!! https://t.co/yDc6L51jSz,arcadefriar
positive,RT @Myself_chanduu: Movies aina reality aina okela untadu \n\nThat’s d reason I love him 🥰🥰\n\n#AdvanceHBDPawanKalyan https://t.co/IDUQwLWRMx,Pavanpremam1
positive,"RT @LiveJayaram: Advance Happy birthday  @PawanKalyan Sir, 🎂\n\nWishing from @LiveJayaram \n\n( Padmasree #Jayaram Movies &amp; Events Promote offi…",Sidduvirat11
positive,"RT @GOATMoviePod: One of my favorite opening Oscar speeches. This was post 9/11 from Tom Cruise. \What do movies mean to you?\"" https://t.co…""",lunasangrienta1
neutral,RT @SairamAnupoju_: #AdvanceHBDPawanKalyan He is not only a actor A man of desire God of masses Fan of his fans And king of TFI without mak…,Sriniva66798105
positive,Space Camp was one of my favorite movies growing up. RIP Kelly Preston. 😰 https://t.co/xC1LKh2ZXQ,ezbrnd
neutral,RT @sunshinecruz718: Wala kaming sinasaktan at inaapakang tao. Hindi pagkain o bagay ang mga babae. Anong satisfaction ang nakukuha nyo sa…,nyaaahh_
neutral,RT @sunshinecruz718: Wala kaming sinasaktan at inaapakang tao. Hindi pagkain o bagay ang mga babae. Anong satisfaction ang nakukuha nyo sa…,margwuwu
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",NaiduKbr
positive,RT @RusthumHere: Faction movies come to Tollywood Life\nwith a love story and conqueres a industrial hit.\nIt only possible for u Usthaad\n\n#A…,SilaruChandu
neutral,RT @SKNonline: బన్నీని ఒక్క ఛాన్స్‌ అడిగిన బాలీవుడ్‌ డైరెక్టర్‌  https://t.co/EMynBKlsyR\n#AlluArjun #AlaVaikunthapurramuloo,AAArmykamareddy
positive,"RT @robintheredwon1: Hello! I'm Robin, I'm a smaller artist [mostly hobbyist], and I like drawing from animes and movies and such. I genuin…",MindWont
